3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.307,0.468,0.0,0.306,0.472
0.33,0.472,0.0,0.307,0.468
0.323,0.473,0.0,0.33,0.472
0.309,0.472,0.0,0.323,0.473
0.309,0.482,0.0,0.309,0.472
0.318,0.492,0.0,0.309,0.482
0.312,0.492,0.0,0.318,0.492
0.294,0.482,0.0,0.312,0.492
0.301,0.471,0.0,0.294,0.482
0.298,0.471,0.0,0.301,0.471
0.304,0.479,0.0,0.298,0.471
0.307,0.471,0.0,0.304,0.479
0.308,0.461,0.0,0.307,0.471
0.324,0.462,0.0,0.308,0.461
0.328,0.467,0.0,0.324,0.462
0.332,0.472,1.0,0.328,0.467
0.334,0.465,0.0,0.332,0.472
0.34,0.475,1.0,0.334,0.465
0.339,0.467,2.0,0.34,0.475
0.33,0.482,1.0,0.339,0.467
0.325,0.492,1.0,0.33,0.482
0.307,0.497,0.0,0.325,0.492
0.302,0.503,0.0,0.307,0.497
0.309,0.498,0.0,0.302,0.503
0.306,0.49,0.0,0.309,0.498
0.313,0.474,0.0,0.306,0.49
0.305,0.489,0.0,0.313,0.474
0.314,0.517,0.0,0.305,0.489
0.314,0.524,0.0,0.314,0.517
0.313,0.518,0.0,0.314,0.524
0.322,0.516,0.0,0.313,0.518
0.32,0.514,0.0,0.322,0.516
0.314,0.506,0.0,0.32,0.514
0.315,0.489,0.0,0.314,0.506
0.311,0.489,0.0,0.315,0.489
0.303,0.495,0.0,0.311,0.489
0.312,0.506,0.0,0.303,0.495
0.306,0.486,0.0,0.312,0.506
0.309,0.482,0.0,0.306,0.486
0.302,0.482,0.0,0.309,0.482
0.303,0.48,0.0,0.302,0.482
0.294,0.483,0.0,0.303,0.48
0.296,0.482,0.0,0.294,0.483
0.31,0.51,0.0,0.296,0.482
0.298,0.513,0.0,0.31,0.51
0.313,0.537,0.0,0.298,0.513
0.325,0.508,0.0,0.313,0.537
0.337,0.52,0.0,0.325,0.508
0.328,0.528,0.0,0.337,0.52
0.327,0.538,1.0,0.328,0.528
0.326,0.523,1.0,0.327,0.538
0.349,0.517,1.0,0.326,0.523
0.325,0.518,1.0,0.349,0.517
0.328,0.512,1.0,0.325,0.518
0.326,0.504,1.0,0.328,0.512
0.344,0.481,1.0,0.326,0.504
0.35,0.486,1.0,0.344,0.481
0.332,0.463,1.0,0.35,0.486
0.338,0.462,1.0,0.332,0.463
0.347,0.452,1.0,0.338,0.462
0.337,0.472,1.0,0.347,0.452
0.344,0.468,1.0,0.337,0.472
0.342,0.454,1.0,0.344,0.468
0.33,0.47,1.0,0.342,0.454
0.331,0.477,1.0,0.33,0.47
0.335,0.491,1.0,0.331,0.477
0.338,0.485,0.0,0.335,0.491
0.346,0.482,0.0,0.338,0.485
0.341,0.478,0.0,0.346,0.482
0.348,0.472,0.0,0.341,0.478
0.347,0.462,0.0,0.348,0.472
0.325,0.458,0.0,0.347,0.462
0.32,0.47,0.0,0.325,0.458
0.327,0.45,0.0,0.32,0.47
0.322,0.444,0.0,0.327,0.45
0.329,0.44,0.0,0.322,0.444
0.313,0.443,0.0,0.329,0.44
0.324,0.451,1.0,0.313,0.443
0.327,0.451,1.0,0.324,0.451
0.345,0.456,0.0,0.327,0.451
0.348,0.458,0.0,0.345,0.456
0.346,0.466,0.0,0.348,0.458
0.351,0.463,0.0,0.346,0.466
0.354,0.473,0.0,0.351,0.463
0.348,0.481,0.0,0.354,0.473
0.339,0.481,0.0,0.348,0.481
0.328,0.485,0.0,0.339,0.481
0.319,0.471,0.0,0.328,0.485
0.319,0.477,0.0,0.319,0.471
0.317,0.479,0.0,0.319,0.477
0.313,0.481,0.0,0.317,0.479
0.305,0.474,0.0,0.313,0.481
0.313,0.482,0.0,0.305,0.474
0.302,0.477,0.0,0.313,0.482
0.301,0.458,0.0,0.302,0.477
0.308,0.466,0.0,0.301,0.458
0.306,0.462,0.0,0.308,0.466
0.309,0.461,0.0,0.306,0.462
0.314,0.477,0.0,0.309,0.461
0.315,0.481,0.0,0.314,0.477
0.324,0.474,0.0,0.315,0.481
0.331,0.475,0.0,0.324,0.474
0.322,0.472,0.0,0.331,0.475
0.316,0.475,0.0,0.322,0.472
0.309,0.472,0.0,0.316,0.475
0.313,0.479,0.0,0.309,0.472
0.316,0.477,0.0,0.313,0.479
0.306,0.47,0.0,0.316,0.477
0.305,0.469,0.0,0.306,0.47
0.33,0.462,0.0,0.305,0.469
0.327,0.457,0.0,0.33,0.462
0.32,0.445,0.0,0.327,0.457
0.311,0.444,0.0,0.32,0.445
0.314,0.437,0.0,0.311,0.444
0.313,0.443,0.0,0.314,0.437
0.312,0.452,0.0,0.313,0.443
0.307,0.453,0.0,0.312,0.452
0.315,0.463,0.0,0.307,0.453
0.304,0.459,0.0,0.315,0.463
0.305,0.464,0.0,0.304,0.459
0.301,0.457,0.0,0.305,0.464
0.303,0.458,0.0,0.301,0.457
0.309,0.484,0.0,0.303,0.458
0.309,0.502,0.0,0.309,0.484
0.307,0.496,0.0,0.309,0.502
0.304,0.493,1.0,0.307,0.496
0.287,0.493,1.0,0.304,0.493
0.29,0.487,1.0,0.287,0.493
0.293,0.481,1.0,0.29,0.487
0.308,0.495,0.0,0.293,0.481
0.317,0.497,0.0,0.308,0.495
0.323,0.493,0.0,0.317,0.497
0.325,0.485,0.0,0.323,0.493
0.338,0.468,0.0,0.325,0.485
0.338,0.46,0.0,0.338,0.468
0.342,0.452,0.0,0.338,0.46
0.331,0.46,0.0,0.342,0.452
0.344,0.457,0.0,0.331,0.46
0.333,0.474,0.0,0.344,0.457
0.326,0.469,0.0,0.333,0.474
0.317,0.47,0.0,0.326,0.469
0.315,0.479,1.0,0.317,0.47
0.312,0.492,0.0,0.315,0.479
0.312,0.492,0.0,0.312,0.492
0.312,0.494,0.0,0.312,0.492
0.306,0.508,0.0,0.312,0.494
0.304,0.507,0.0,0.306,0.508
0.309,0.508,0.0,0.304,0.507
0.303,0.49,1.0,0.309,0.508
0.304,0.494,1.0,0.303,0.49
0.305,0.494,0.0,0.304,0.494
0.316,0.489,0.0,0.305,0.494
0.322,0.476,0.0,0.316,0.489
0.316,0.478,0.0,0.322,0.476
0.317,0.479,0.0,0.316,0.478
0.315,0.484,0.0,0.317,0.479
0.315,0.477,0.0,0.315,0.484
0.326,0.478,0.0,0.315,0.477
0.333,0.491,0.0,0.326,0.478
0.324,0.475,1.0,0.333,0.491
0.315,0.461,1.0,0.324,0.475
0.311,0.465,0.0,0.315,0.461
0.309,0.479,0.0,0.311,0.465
0.31,0.468,0.0,0.309,0.479
0.324,0.441,0.0,0.31,0.468
0.319,0.453,0.0,0.324,0.441
0.315,0.448,0.0,0.319,0.453
0.318,0.446,0.0,0.315,0.448
0.312,0.456,0.0,0.318,0.446
0.316,0.453,0.0,0.312,0.456
0.31,0.464,0.0,0.316,0.453
0.318,0.454,0.0,0.31,0.464
0.311,0.463,0.0,0.318,0.454
0.306,0.456,0.0,0.311,0.463
0.307,0.464,0.0,0.306,0.456
0.306,0.468,0.0,0.307,0.464
0.305,0.465,0.0,0.306,0.468
0.302,0.48,0.0,0.305,0.465
0.305,0.47,0.0,0.302,0.48
0.307,0.473,0.0,0.305,0.47
0.321,0.474,0.0,0.307,0.473
0.323,0.476,0.0,0.321,0.474
0.325,0.472,0.0,0.323,0.476
0.318,0.477,0.0,0.325,0.472
0.3,0.471,0.0,0.318,0.477
0.31,0.477,0.0,0.3,0.471
0.324,0.495,0.0,0.31,0.477
0.315,0.475,1.0,0.324,0.495
0.308,0.468,1.0,0.315,0.475
0.308,0.456,1.0,0.308,0.468
0.312,0.458,0.0,0.308,0.456
0.332,0.469,0.0,0.312,0.458
0.335,0.484,1.0,0.332,0.469
0.347,0.48,1.0,0.335,0.484
0.354,0.485,1.0,0.347,0.48
0.35,0.5,1.0,0.354,0.485
0.336,0.506,1.0,0.35,0.5
0.341,0.482,1.0,0.336,0.506
0.337,0.486,0.0,0.341,0.482
0.321,0.495,0.0,0.337,0.486
0.328,0.49,1.0,0.321,0.495
0.321,0.48,1.0,0.328,0.49
0.324,0.461,0.0,0.321,0.48
0.325,0.447,0.0,0.324,0.461
0.333,0.432,0.0,0.325,0.447
0.336,0.432,0.0,0.333,0.432
0.347,0.434,0.0,0.336,0.432
0.331,0.438,0.0,0.347,0.434
0.344,0.45,0.0,0.331,0.438
0.341,0.446,0.0,0.344,0.45
0.346,0.455,1.0,0.341,0.446
0.339,0.458,1.0,0.346,0.455
0.354,0.487,2.0,0.339,0.458
0.351,0.502,2.0,0.354,0.487
0.356,0.506,2.0,0.351,0.502
