90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.45,0.548,0.0,0.447,0.552
0.444,0.538,0.0,0.45,0.548
0.446,0.551,1.0,0.444,0.538
0.463,0.552,0.0,0.446,0.551
0.45,0.547,0.0,0.463,0.552
0.455,0.553,0.0,0.45,0.547
0.454,0.548,0.0,0.455,0.553
0.443,0.545,0.0,0.454,0.548
0.444,0.555,0.0,0.443,0.545
0.448,0.546,0.0,0.444,0.555
0.451,0.555,0.0,0.448,0.546
0.442,0.559,0.0,0.451,0.555
0.441,0.556,1.0,0.442,0.559
0.437,0.556,1.0,0.441,0.556
0.442,0.554,0.0,0.437,0.556
0.453,0.562,0.0,0.442,0.554
0.446,0.566,1.0,0.453,0.562
0.45,0.557,1.0,0.446,0.566
0.441,0.564,1.0,0.45,0.557
0.451,0.561,1.0,0.441,0.564
0.452,0.563,1.0,0.451,0.561
0.45,0.56,0.0,0.452,0.563
0.461,0.571,0.0,0.45,0.56
0.45,0.564,1.0,0.461,0.571
0.46,0.58,1.0,0.45,0.564
0.471,0.578,1.0,0.46,0.58
0.455,0.574,1.0,0.471,0.578
0.467,0.575,2.0,0.455,0.574
0.465,0.579,1.0,0.467,0.575
0.45,0.575,1.0,0.465,0.579
0.449,0.575,1.0,0.45,0.575
0.462,0.583,1.0,0.449,0.575
0.478,0.573,1.0,0.462,0.583
0.465,0.562,0.0,0.478,0.573
0.459,0.569,0.0,0.465,0.562
0.45,0.568,0.0,0.459,0.569
0.442,0.575,0.0,0.45,0.568
0.455,0.572,0.0,0.442,0.575
0.457,0.573,0.0,0.455,0.572
0.466,0.573,0.0,0.457,0.573
0.452,0.559,1.0,0.466,0.573
0.452,0.565,0.0,0.452,0.559
0.457,0.579,0.0,0.452,0.565
0.46,0.593,0.0,0.457,0.579
0.454,0.576,0.0,0.46,0.593
0.458,0.561,0.0,0.454,0.576
0.478,0.564,0.0,0.458,0.561
0.473,0.564,0.0,0.478,0.564
0.466,0.561,0.0,0.473,0.564
0.458,0.55,0.0,0.466,0.561
0.468,0.543,0.0,0.458,0.55
0.463,0.532,0.0,0.468,0.543
0.459,0.537,0.0,0.463,0.532
0.468,0.541,0.0,0.459,0.537
0.465,0.55,0.0,0.468,0.541
0.469,0.568,1.0,0.465,0.55
0.479,0.582,0.0,0.469,0.568
0.479,0.585,0.0,0.479,0.582
0.483,0.587,0.0,0.479,0.585
0.469,0.573,0.0,0.483,0.587
0.459,0.595,0.0,0.469,0.573
0.455,0.589,0.0,0.459,0.595
0.453,0.585,0.0,0.455,0.589
0.459,0.577,0.0,0.453,0.585
0.45,0.558,0.0,0.459,0.577
0.447,0.546,1.0,0.45,0.558
0.45,0.548,0.0,0.447,0.546
0.449,0.545,0.0,0.45,0.548
0.444,0.561,0.0,0.449,0.545
0.432,0.54,0.0,0.444,0.561
0.444,0.55,0.0,0.432,0.54
0.437,0.556,0.0,0.444,0.55
0.44,0.559,0.0,0.437,0.556
0.435,0.567,0.0,0.44,0.559
0.435,0.562,0.0,0.435,0.567
0.431,0.556,0.0,0.435,0.562
0.441,0.552,0.0,0.431,0.556
0.451,0.552,1.0,0.441,0.552
0.454,0.554,1.0,0.451,0.552
0.459,0.557,2.0,0.454,0.554
0.457,0.57,2.0,0.459,0.557
0.457,0.575,0.0,0.457,0.57
0.475,0.566,0.0,0.457,0.575
0.48,0.58,0.0,0.475,0.566
0.484,0.571,1.0,0.48,0.58
0.492,0.573,0.0,0.484,0.571
0.492,0.572,0.0,0.492,0.573
0.477,0.564,0.0,0.492,0.572
0.467,0.568,0.0,0.477,0.564
0.467,0.559,0.0,0.467,0.568
0.474,0.553,0.0,0.467,0.559
0.465,0.568,0.0,0.474,0.553
0.472,0.567,0.0,0.465,0.568
0.475,0.559,0.0,0.472,0.567
0.473,0.562,0.0,0.475,0.559
0.479,0.567,1.0,0.473,0.562
0.475,0.576,1.0,0.479,0.567
0.474,0.574,0.0,0.475,0.576
0.468,0.561,1.0,0.474,0.574
0.46,0.571,1.0,0.468,0.561
0.471,0.568,1.0,0.46,0.571
0.473,0.56,0.0,0.471,0.568
0.471,0.569,1.0,0.473,0.56
0.485,0.579,1.0,0.471,0.569
0.476,0.597,2.0,0.485,0.579
0.478,0.584,2.0,0.476,0.597
0.468,0.586,2.0,0.478,0.584
0.47,0.575,1.0,0.468,0.586
0.477,0.594,1.0,0.47,0.575
0.471,0.592,1.0,0.477,0.594
0.464,0.591,2.0,0.471,0.592
0.475,0.591,2.0,0.464,0.591
0.461,0.581,1.0,0.475,0.591
0.46,0.596,1.0,0.461,0.581
0.445,0.588,1.0,0.46,0.596
0.446,0.612,1.0,0.445,0.588
0.444,0.603,0.0,0.446,0.612
0.45,0.585,0.0,0.444,0.603
0.47,0.57,0.0,0.45,0.585
0.467,0.571,0.0,0.47,0.57
0.465,0.562,0.0,0.467,0.571
0.479,0.585,0.0,0.465,0.562
0.489,0.577,0.0,0.479,0.585
0.477,0.577,0.0,0.489,0.577
0.471,0.584,0.0,0.477,0.577
0.474,0.55,0.0,0.471,0.584
